Name,Team,ADP,MIN,MAX,Spread,Leagues Drafted
Brice Turang,MLW,55.23,40,71,31,22
David Bednar,NYY,55.5,39,75,36,22
William Contreras,MLW,55.55,40,70,30,22
Devin Williams,NYM,55.86,41,75,34,22
Mookie Betts,LAD,56.64,40,69,29,22
Roman Anthony,BOS,57.82,47,72,25,22
CJ Abrams,WAS,58.77,34,81,47,22
Aroldis Chapman,BOS,58.95,43,73,30,22
Shea Langeliers,ATH,59.36,52,70,18,22
Ben Rice,NYY,59.55,47,72,25,22
Freddy Peralta,NYM,60.14,35,73,38,22
Rafael Devers,SF,60.64,46,85,39,22
Josh Naylor,SEA,63.86,48,86,38,22
Freddie Freeman,LAD,63.95,43,81,38,22
Austin Riley,ATL,64.45,52,76,24,22
George Kirby,SEA,66.86,56,88,32,22
Jackson Merrill,SD,67.5,49,80,31,22
Maikel Garcia,KC,68.68,48,85,37,22
Riley Greene,DET,70.0,51,87,36,22
Jarren Duran,BOS,70.95,56,83,27,22
Hunter Goodman,COL,71.36,54,87,33,22
Dylan Cease,TOR,75.36,59,100,41,22
Joe Ryan,MIN,75.55,61,90,29,22
Vinnie Pasquantino,KC,76.55,64,88,24,22
Cody Bellinger,NYY,77.36,50,96,46,22
Kyle Bradish,BAL,77.41,65,94,29,22
Byron Buxton,MIN,79.05,67,93,26,22
Ryan Helsley,BAL,81.32,64,105,41,22
Jesus Luzardo,PHI,81.36,67,103,36,22
Framber Valdez,DET,81.91,74,96,22,22
Eury Perez,MIA,82.45,62,94,32,22
Geraldo Perdomo,ARZ,84.18,62,112,50,22
Drake Baldwin,ATL,85.36,59,101,42,22
Agustin Ramirez,MIA,85.95,67,107,40,22
Raisel Iglesias,ATL,88.14,63,138,75,22
Tyler Soderstrom,ATH,89.36,73,111,38,22
Seiya Suzuki,CHC,91.45,75,103,28,22
Oneil Cruz,PIT,91.86,73,117,44,22
Randy Arozarena,SEA,92.59,83,113,30,22
Salvador Perez,KC,92.91,73,112,39,22
Nolan McLean,NYM,94.45,72,111,39,22
Bo Bichette,NYM,94.45,75,117,42,22
Will Smith,LAD,95.86,58,118,60,22
Josh Hader,HOU,96.95,65,135,70,22
Corey Seager,TEX,97.05,77,119,42,22
Nick Pivetta,SD,98.09,80,119,39,22
Eugenio Suarez,CIN,98.36,75,131,56,22
George Springer,TOR,98.68,75,119,44,22
Nico Hoerner,CHC,99.18,86,112,26,22
Daniel Palencia,CHC,99.5,72,121,49,22
Michael Harris II,ATL,102.05,87,122,35,22
Jeff Hoffman,TOR,102.32,84,122,38,22
Jeremy Pena,HOU,105.23,81,147,66,22
Michael Busch,CHC,107.18,88,134,46,22
Pete Fairbanks,MIA,107.36,80,134,54,22
Chase Burns,CIN,109.09,91,132,41,22
Alex Bregman,CHC,109.59,90,133,43,22
Trevor Story,BOS,110.86,86,137,51,22
Spencer Strider,ATL,113.09,84,140,56,22
Luis Robert Jr.,NYM,114.27,100,143,43,22
Kevin Gausman,TOR,115.27,79,142,63,22
Willy Adames,SF,115.41,101,131,30,22
Yainer Diaz,HOU,116.91,89,147,58,22
Carlos Estevez,KC,117.82,84,170,86,22
Emilio Pagan,CIN,119.0,78,148,70,22
Jose Altuve,HOU,119.27,103,146,43,22
Emmet Sheehan,LAD,119.68,97,136,39,22
Teoscar Hernandez,LAD,121.05,102,151,49,22
Tyler Glasnow,LAD,121.18,88,149,61,22
Nick Lodolo,CIN,122.86,93,164,71,22
Christian Yelich,MLW,123.95,94,142,48,22
Jo Adell,LAA,124.86,107,143,36,22
Luke Keaschall,MIN,125.86,91,156,65,22
Ceddanne Rafaela,BOS,126.73,109,153,44,22
Sonny Gray,BOS,127.68,102,159,57,22
Ryan Pepiot,TB,128.32,101,145,44,22
Zack Wheeler,PHI,128.36,65,160,95,22
Jacob Misiorowski,MLW,129.05,97,159,62,22
Kenley Jansen,DET,129.18,92,171,79,22
Trevor Megill,MLW,131.82,79,188,109,22
Andy Pages,LAD,132.32,116,154,38,22
Yandy Diaz,TB,132.91,113,180,67,22
Jakob Marsee,MIA,133.14,110,157,47,22
Michael King,SD,134.5,102,150,48,22
Drew Rasmussen,TB,135.86,120,160,40,22
Dansby Swanson,CHC,136.95,107,162,55,22
Brandon Woodruff,MLW,137.0,104,170,66,22
Cam Schlittler,NYY,138.82,110,169,59,22
Kyle Stowers,MIA,141.77,114,179,65,22
Noelvi Marte,CIN,143.41,120,165,45,22
Adley Rutschman,BAL,144.36,107,187,80,22
Nathan Eovaldi,TEX,144.36,109,173,64,22
Brandon Nimmo,TEX,144.64,121,177,56,22
Taylor Ward,BAL,147.5,127,193,66,22
Konnor Griffin,PIT,149.55,101,194,93,22
Griffin Jax,TB,151.32,105,196,91,22
Bubba Chandler,PIT,152.64,118,191,73,22
Sandy Alcantara,MIA,152.86,129,191,62,22
Trevor Rogers,BAL,153.77,113,185,72,22
Abner Uribe,MLW,155.41,121,216,95,22
Dennis Santana,PIT,155.68,117,198,81,22
Blake Snell,LAD,156.0,93,216,123,22
Ryan Walker,SF,156.09,130,204,74,22
Matt Chapman,SF,156.73,119,191,72,22
Trey Yesavage,TOR,157.09,120,191,71,22
Gavin Williams,CLE,161.36,134,208,74,22
Alejandro Kirk,TOR,161.73,136,195,59,22
Ozzie Albies,ATL,162.14,135,202,67,22
Luis Castillo,SEA,162.59,109,231,122,22
Brenton Doyle,COL,163.18,141,199,58,22
Chandler Simpson,TB,164.14,133,211,78,22
Lawrence Butler,ATH,165.5,125,205,80,22
Alec Burleson,STL,166.05,132,188,56,22
Steven Kwan,CLE,167.64,140,200,60,22
Samuel Basallo,BAL,169.27,136,200,64,22
Jacob Wilson,ATH,169.82,147,210,63,22
MacKenzie Gore,TEX,170.55,123,204,81,22
Francisco Alvarez,NYM,171.0,131,197,66,22
Shota Imanaga,CHC,172.23,148,225,77,22
Tatsuya Imai,HOU,172.27,140,230,90,22
Gabriel Moreno,ARZ,174.95,158,199,41,22
Robbie Ray,SF,175.45,116,252,136,22
Dylan Crews,WAS,177.32,140,215,75,22
Matt McLain,CIN,177.32,143,218,75,22
Sal Stewart,CIN,177.36,139,195,56,22
Xavier Edwards,MIA,178.64,150,217,67,22
Carter Jensen,KC,179.45,151,206,55,22
Brandon Lowe,PIT,179.77,125,215,90,22
Jac Caglianone,KC,179.77,148,219,71,22
Mike Trout,LAA,180.82,100,222,122,22
Ian Happ,CHC,180.95,125,208,83,22
Jackson Holliday,BAL,181.09,131,232,101,22
Bryson Stott,PHI,181.59,149,223,74,22
Willson Contreras,BOS,181.82,136,209,73,22
Ivan Herrera,STL,183.14,155,209,54,22
Ranger Suarez,BOS,183.91,123,233,110,22
Tanner Bibee,CLE,184.86,146,224,78,22
Cade Horton,CHC,186.41,164,213,49,22
Edward Cabrera,CHC,187.0,150,214,64,22
Spencer Torkelson,DET,187.14,151,217,66,22
Jonathan Aranda,TB,187.95,151,222,71,22
Kyle Teel,CWS,188.23,166,231,65,22
Addison Barger,TOR,192.32,140,219,79,22
Bryan Abreu,HOU,195.23,156,251,95,22
Royce Lewis,MIN,200.41,174,255,81,22
Ezequiel Tovar,COL,200.68,159,242,83,22
Shane Baz,BAL,200.86,169,228,59,22
Bryan Reynolds,PIT,203.09,165,238,73,22
Seranthony Dominguez,CWS,204.14,165,265,100,22
Munetaka Murakami,CWS,204.32,166,236,70,22
Daylen Lile,WAS,204.32,158,254,96,22
Kris Bubic,KC,204.64,172,230,58,22
Daulton Varsho,TOR,204.82,183,235,52,22
J.T. Realmuto,PHI,204.91,166,229,63,22
Jose Caballero,NYY,205.14,125,272,147,22
Christian Walker,HOU,205.27,180,236,56,22
Kazuma Okamoto,TOR,206.91,151,242,91,22
Jack Flaherty,DET,210.05,158,256,98,22
Shane McClanahan,TB,212.18,171,237,66,22
Robert Suarez,ATL,212.73,145,279,134,22
JJ Wetherholt,STL,213.41,170,259,89,22
Aaron Nola,PHI,214.5,173,261,88,22
Heliot Ramos,SF,215.41,193,234,41,22
Sal Frelick,MLW,217.91,181,260,79,22
Otto Lopez,MIA,218.0,181,252,71,22
Wilyer Abreu,BOS,218.91,183,238,55,22
Kevin McGonigle,DET,220.36,111,272,161,22
Jorge Polanco,NYM,220.86,194,257,63,22
Andrew Abbott,CIN,221.41,195,253,58,22
Ramon Laureano,SD,221.86,182,270,88,22
Isaac Paredes,HOU,221.86,188,273,85,22
Adolis Garcia,PHI,222.0,178,260,82,22
Colson Montgomery,CWS,222.18,181,250,69,22
Matthew Boyd,CHC,222.55,182,247,65,22
Zac Gallen,ARZ,223.45,181,262,81,22
Kerry Carpenter,DET,224.86,165,262,97,22
Gleyber Torres,DET,225.59,200,265,65,22
Xander Bogaerts,SD,227.32,181,269,88,22
Joe Musgrove,SD,228.18,202,246,44,22
Caleb Durbin,BOS,228.59,188,270,82,22
Carlos Rodon,NYY,228.77,189,259,70,22
Austin Wells,NYY,232.36,178,268,90,22
Robert Garcia,TEX,234.55,174,280,106,22
Max Muncy,LAD,234.64,204,281,77,34
Alec Bohm,PHI,234.91,168,276,108,22
Kyle Manzardo,CLE,235.59,172,307,135,22
Luis Garcia Jr.,WAS,238.05,137,275,138,22
Jordan Beck,COL,239.64,196,282,86,22
Logan O`Hoppe,LAA,240.0,197,284,87,22
Dillon Dingler,DET,242.27,184,276,92,22
Marcus Semien,NYM,243.05,187,284,97,22
Trent Grisham,NYY,245.45,214,273,59,22
Colton Cowser,BAL,245.77,219,282,63,22
Mickey Moniak,COL,246.0,212,270,58,22
Ryan Jeffers,MIN,247.41,185,282,97,22
Tyler Stephenson,CIN,249.0,223,279,56,22
Jack Leiter,TEX,250.55,208,279,71,22
Jake Burger,TEX,250.77,219,281,62,22
Riley O`Brien,STL,251.82,198,312,114,22
Shane Smith,CWS,254.14,217,285,68,22
Ryan Weathers,NYY,256.0,207,311,104,22
Brendan Donovan,SEA,257.0,192,301,109,22
Luis Arraez,SF,258.55,185,291,106,22
Justin Crawford,PHI,259.09,231,306,75,22
Ryne Nelson,ARZ,259.82,224,315,91,22
Carlos Correa,HOU,261.68,182,298,116,22
Willi Castro,COL,263.95,227,296,69,22
Bryce Miller,SEA,264.05,224,296,72,22
TJ Friedl,CIN,264.14,232,295,63,22
Brett Baty,NYM,264.45,188,318,130,22
Mike Burrows,HOU,264.55,212,302,90,22
Masyn Winn,STL,264.73,179,314,135,22
Kodai Senga,NYM,268.14,223,298,75,22
Miguel Vargas,CWS,268.27,235,305,70,22
Anthony Santander,TOR,269.0,269,269,0,1
Andrew Vaughn,MLW,269.41,244,293,49,22
Merrill Kelly,ARZ,269.45,235,315,80,22
Braxton Ashcraft,PIT,271.18,241,304,63,22
Giancarlo Stanton,NYY,271.95,228,298,70,22
Ryan O`Hearn,PIT,272.05,240,301,61,22
Joey Cantillo,CLE,272.45,238,340,102,22
Spencer Steer,CIN,272.68,227,380,153,22
Noah Cameron,KC,275.32,231,329,98,22
Gerrit Cole,NYY,275.52,221,330,109,21
Evan Carter,TEX,277.09,243,310,67,22
Cody Ponce,TOR,278.05,260,310,50,22
Jung Hoo Lee,SF,278.23,208,341,133,22
Casey Mize,DET,278.27,248,310,62,22
Chase DeLauter,CLE,281.59,213,311,98,22
Jordan Lawlar,ARZ,281.86,238,302,64,22
Josh Lowe,LAA,285.73,232,364,132,22
Sean Manaea,NYM,286.86,258,314,56,21
Grayson Rodriguez,LAA,288.36,249,339,90,22
Carlos Narvaez,BOS,289.91,252,365,113,22
Ernie Clement,TOR,293.23,250,338,88,22
Andres Gimenez,TOR,293.86,255,372,117,22
Andrew Painter,PHI,297.67,245,346,101,21
Cedric Mullins,TB,300.5,249,359,110,22
Carson Benge,NYM,302.14,220,365,145,22
Marcell Ozuna,PIT,302.27,253,350,97,22
Logan Henderson,MLW,302.48,239,375,136,21
Parker Messick,CLE,302.64,249,353,104,22
Matt Shaw,CHC,303.23,219,382,163,22
Roki Sasaki,LAD,304.91,175,366,191,22
Connelly Early,BOS,305.23,247,407,160,22
Jose Soriano,LAA,306.05,262,355,93,21
Matt Wallner,MIN,307.05,270,345,75,22
Dylan Beavers,BAL,307.1,256,367,111,21
Colt Keith,DET,307.14,271,359,88,22
Kirby Yates,LAA,308.77,246,385,139,22
Victor Scott II,STL,309.59,206,364,158,22
Cade Cavalli,WAS,309.91,261,361,100,22
Harrison Bader,SF,311.38,273,374,101,21
Bo Naylor,CLE,311.5,269,365,96,22
Zebby Matthews,MIN,311.82,231,365,134,22
Clayton Beeter,WAS,313.27,261,389,128,22
Shane Bieber,TOR,313.32,163,446,283,19
Edgar Quero,CWS,313.82,254,360,106,22
Spencer Schwellenbach,ATL,314.0,314,314,0,1
Will Warren,NYY,314.23,281,351,70,22
Jasson Dominguez,NYY,314.76,208,449,241,21
Cam Smith,HOU,316.41,270,369,99,22
Chad Patrick,MLW,317.0,281,383,102,22
Jordan Westburg,BAL,318.67,178,440,262,18
Carson Kelly,CHC,319.91,267,378,111,22
Mick Abel,MIN,320.0,265,366,101,20
Troy Melton,DET,320.0,320,320,0,1
Jeff McNeil,ATH,323.76,298,365,67,21
Grant Taylor,CWS,323.95,270,391,121,22
Bailey Ober,MIN,325.1,274,420,146,21
Josh Bell,MIN,325.33,290,393,103,18
Reid Detmers,LAA,325.33,280,356,76,21
Brooks Lee,MIN,325.5,279,384,105,22
Reynaldo Lopez,ATL,326.85,284,384,100,20
Max Meyer,MIA,327.32,288,410,122,22
Clay Holmes,NYM,327.6,268,385,117,20
Lenyn Sosa,CWS,327.95,270,418,148,21
Jordan Walker,STL,328.15,268,380,112,20
Griffin Conine,MIA,331.0,331,331,0,1
Dominic Canzone,SEA,332.18,292,398,106,22
Quinn Priester,MLW,332.31,301,410,109,13
Robby Snelling,MIA,332.59,259,421,162,17
Josh Smith,TEX,333.05,303,376,73,20
Luis Gil,NYY,333.76,287,378,91,21
Jesus Sanchez,TOR,333.81,274,380,106,21
Kyle Finnegan,DET,336.11,189,405,216,9
Kyle Harrison,MLW,337.2,300,384,84,20
Victor Vodnik,COL,337.63,282,415,133,19
Nolan Schanuel,LAA,338.24,294,378,84,21
Brayan Bello,BOS,338.6,259,447,188,20
Coby Mayo,BAL,339.18,295,406,111,17
Brandon Marsh,PHI,339.21,260,412,152,19
Zach McKinstry,DET,340.0,288,408,120,21
Taylor Rogers,MIN,340.17,243,387,144,18
Brady Singer,CIN,340.95,285,392,107,21
Ian Seymour,TB,341.15,259,414,155,20
Chase Meidroth,CWS,341.19,286,395,109,21
Jameson Taillon,CHC,341.3,277,389,112,20
Mark Vientos,NYM,341.56,269,436,167,16
Ben Brown,CHC,342.0,302,382,80,2
Yusei Kikuchi,LAA,342.42,273,423,150,19
Luisangel Acuna,CWS,344.05,278,418,140,19
Will Vest,DET,344.16,274,440,166,19
Jonathan India,KC,344.42,287,395,108,19
Tyler Mahle,SF,345.35,311,382,71,20
Yoan Moncada,LAA,345.5,313,378,65,2
Zach Eflin,BAL,346.4,290,423,133,20
David Peterson,NYM,346.56,288,398,110,18
JoJo Romero,STL,347.1,295,431,136,20
Owen Caissie,MIA,347.45,299,413,114,20
Bryce Eldridge,SF,348.11,253,415,162,18
Chris Bassitt,BAL,349.06,296,387,91,17
Kevin Ginkel,ARZ,352.88,238,443,205,16
Mitch Keller,PIT,352.95,301,428,127,19
Seth Lugo,KC,354.33,280,398,118,15
Nolan Arenado,ARZ,354.53,293,438,145,17
Victor Robles,SEA,355.44,314,412,98,9
Austin Hays,CWS,355.65,299,427,128,20
Matthew Liberatore,STL,356.4,307,396,89,20
Victor Caratini,MIN,356.42,284,441,157,19
Marcelo Mayer,BOS,356.86,213,427,214,14
Jeremiah Estrada,SD,357.88,297,446,149,17
Spencer Horwitz,PIT,358.5,240,448,208,12
Edwin Uceta,TB,359.36,288,449,161,14
Moises Ballesteros,CHC,359.38,296,436,140,16
Matt Strahm,KC,359.4,255,389,134,5
Garrett Cleavinger,TB,359.47,277,448,171,19
Dustin May,STL,361.37,300,409,109,19
Jordan Leasure,CWS,363.57,287,424,137,7
Nick Castellanos,SD,364.0,273,446,173,15
Michael Wacha,KC,364.6,334,426,92,15
Tyler O`Neill,BAL,364.75,322,423,101,20
Connor Norby,MIA,364.87,294,438,144,15
Garrett Mitchell,MLW,365.0,287,421,134,13
Nasim Nunez,WAS,365.11,314,422,108,19
Harry Ford,WAS,365.25,291,411,120,16
Anthony Volpe,NYY,366.11,278,430,152,18
Simeon Woods Richardson,MIN,366.2,337,404,67,15
Brandon Pfaadt,ARZ,366.27,292,436,144,15
Braxton Garrett,MIA,367.06,331,397,66,17
Robert Stephenson,LAA,367.89,305,413,108,9
Kody Clemens,MIN,367.92,283,442,159,12
Paul Sewald,ARZ,368.4,319,438,119,15
Josh Jung,TEX,368.69,305,435,130,16
Nolan Gorman,STL,369.31,278,427,149,13
Isaac Collins,KC,369.8,336,440,104,15
Johan Oviedo,BOS,369.93,295,433,138,15
Dalton Rushing,LAD,370.0,362,378,16,2
Corbin Burnes,ARZ,370.0,370,370,0,1
Jacob Lopez,ATH,370.11,324,409,85,18
Elvis Alvarado,ATH,371.0,371,371,0,1
Danny Jansen,TEX,371.75,313,450,137,8
Heriberto Hernandez,MIA,372.0,372,372,0,1
Wenceel Perez,DET,372.0,372,372,0,1
Brandon Sproat,MLW,372.23,271,434,163,13
Jorge Soler,LAA,372.59,289,446,157,17
Lucas Erceg,KC,372.67,326,444,118,15
Justin Sterner,ATH,373.47,328,429,101,17
Phil Maton,CHC,374.0,301,447,146,2
Jose Berrios,TOR,376.5,337,416,79,2
Jake Mangum,PIT,377.0,346,401,55,12
Taj Bradley,MIN,377.12,338,425,87,17
Matt Svanson,STL,377.38,335,417,82,16
Joe Mack,MIA,378.0,378,378,0,1
Tommy Edman,LAD,378.25,292,428,136,12
Landen Roupp,SF,378.92,322,428,106,13
Justin Topa,MIN,379.0,379,379,0,1
Jared Triolo,PIT,379.91,267,404,137,11
Dean Kremer,BAL,380.0,333,416,83,3
Justin Verlander,DET,380.5,243,447,204,12
Grant Holmes,ATL,380.81,344,433,89,16
Payton Tolle,BOS,381.0,307,431,124,9
Denzel Clarke,ATH,381.12,357,421,64,8
Rhett Lowder,CIN,382.07,336,419,83,14
Gavin Sheets,SD,382.87,322,430,108,15
Brad Keller,PHI,383.0,383,383,0,1
Mike Yastrzemski,ATL,383.06,327,445,118,17
Jake McCarthy,COL,383.27,316,445,129,15
Garrett Whitlock,BOS,383.4,241,443,202,15
Lourdes Gurriel Jr.,ARZ,383.5,325,431,106,8
Triston Casas,BOS,383.5,359,408,49,2
Luis Rengifo,MLW,384.05,353,447,94,19
Kody Funderburk,MIN,385.0,385,385,0,1
Jonah Tong,NYM,385.2,370,399,29,5
Isiah Kiner-Falefa,BOS,386.0,386,386,0,1
Luis Morales,ATH,386.0,364,413,49,4
Hunter Harvey,CHC,386.0,386,386,0,1
Parker Meadows,DET,388.0,367,414,47,4
Christian Moore,LAA,388.0,349,420,71,5
Camilo Doval,NYY,388.14,348,436,88,7
Luis Severino,ATH,388.14,287,428,141,7
Ryan McMahon,NYY,388.29,362,443,81,7
Justin Steele,CHC,388.58,355,418,63,12
Ryan Weiss,HOU,388.75,318,449,131,12
Joshua Baez,STL,389.33,351,409,58,3
J.P. Crawford,SEA,389.64,334,439,105,11
Freddy Fermin,SD,390.14,329,443,114,14
Pedro Pages,STL,390.4,333,435,102,5
Zac Veen,COL,390.5,374,407,33,2
Jhostynxon Garcia,PIT,390.5,358,423,65,2
Zack Littell,WAS,391.09,308,438,130,11
Mauricio Dubon,ATL,391.33,343,419,76,6
Alek Thomas,ARZ,391.5,383,400,17,2
Lucas Giolito,BOS,391.71,326,447,121,7
Hurston Waldrep,ATL,392.0,364,426,62,3
Eduardo Rodriguez,ARZ,392.5,364,421,57,2
Chase Dollander,COL,392.5,373,412,39,2
Jake Cronenworth,SD,392.67,326,430,104,9
Patrick Bailey,SF,393.33,356,422,66,3
Michael Soroka,ARZ,394.0,353,421,68,6
Paul Goldschmidt,NYY,394.0,394,394,0,1
Cade Povich,BAL,394.0,382,406,24,2
Miguel Amaya,CHC,394.83,342,437,95,6
Edouard Julien,COL,395.0,382,408,26,2
Ryan Waldschmidt,ARZ,395.25,290,437,147,4
Spencer Arrighetti,HOU,395.67,361,433,72,3
Jason Adam,SD,396.0,396,396,0,1
Cole Sands,MIN,396.0,374,435,61,3
Chris Martin,TEX,396.5,383,408,25,4
Joe Boyle,TB,396.67,336,450,114,3
Jacob Melton,TB,397.4,360,428,68,5
Jared Jones,PIT,397.8,363,418,55,5
Liam Hicks,MIA,398.0,387,409,22,2
Kyle Karros,COL,398.0,398,398,0,1
Miguel Rojas,LAD,398.0,380,416,36,2
Jake Meyers,HOU,398.14,359,435,76,7
Andrew Benintendi,CWS,398.6,358,448,90,10
Carson Williams,TB,398.75,381,428,47,4
Seth Halvorsen,COL,399.0,338,444,106,4
Troy Johnston,COL,399.0,399,399,0,1
Charlie Condon,COL,399.17,364,449,85,6
Lars Nootbaar,STL,400.38,350,430,80,8
Hogan Harris,ATH,400.9,348,449,101,10
Ben Casparius,LAD,401.0,401,401,0,1
Cristian Javier,HOU,401.46,354,438,84,13
Brady House,WAS,402.4,371,441,70,10
Hyeseong Kim,LAD,402.83,377,433,56,6
Keibert Ruiz,WAS,403.14,345,445,100,7
Hunter Barco,PIT,403.25,356,450,94,4
Thomas White,MIA,403.25,360,428,68,4
Lane Thomas,KC,403.5,373,444,71,8
Justin Wrobleski,LAD,403.92,352,444,92,12
River Ryan,LAD,404.58,291,443,152,12
Joey Ortiz,MLW,405.43,374,449,75,7
Slade Cecconi,CLE,405.47,347,446,99,15
Brayan Rocchio,CLE,406.0,406,406,0,1
Javier Baez,DET,406.0,383,429,46,2
Travis Bazzana,CLE,406.0,373,439,66,3
Rhys Hoskins,MLW,406.5,343,437,94,8
Miguel Andujar,SD,407.0,381,425,44,5
Ha-Seong Kim,ATL,407.5,402,413,11,2
Jacob Latz,TEX,407.83,362,440,78,6
Kyle Leahy,STL,408.5,349,445,96,8
Spencer Jones,NYY,410.0,410,410,0,1
Chris Paddack,MIA,410.0,410,410,0,1
Jordan Romano,LAA,410.0,356,442,86,3
Jett Williams,MLW,411.0,411,411,0,1
Trevor Larnach,MIN,411.5,366,446,80,6
Matt Brash,SEA,411.67,346,448,102,3
Brennen Davis,CHC,412.0,412,412,0,1
Cole Young,SEA,413.0,375,447,72,8
Tanner Scott,LAD,413.0,376,439,63,4
Gavin Lux,TB,413.0,413,413,0,1
Cole Henry,WAS,413.33,390,441,51,3
Jeffrey Springs,ATH,414.0,399,433,34,5
Kumar Rocker,TEX,415.33,388,439,51,3
Randy Vasquez,SD,416.0,385,440,55,5
Nick Martinez,TB,416.0,387,438,51,5
David Hamilton,MLW,416.0,416,416,0,1
Michael McGreevy,STL,416.8,376,441,65,5
Jake Bauers,MLW,417.0,417,417,0,1
Zach Cole,HOU,417.2,394,437,43,5
Anthony Kay,CWS,418.14,396,442,46,7
Kristian Campbell,BOS,418.5,414,423,9,2
Mark Leiter Jr.,ATH,418.6,352,448,96,5
Tyler Freeman,COL,420.0,420,420,0,1
Mason Montgomery,PIT,420.0,416,424,8,2
Sean Murphy,ATL,422.0,422,422,0,1
Zach Agnos,COL,422.0,381,445,64,3
Luke Weaver,NYM,422.33,405,444,39,3
Ryne Stanek,STL,422.5,409,436,27,2
Colt Emerson,SEA,423.0,366,449,83,4
Matt Vierling,DET,423.0,423,423,0,1
Gregory Soto,PIT,425.0,425,425,0,1
Adrian Morejon,SD,425.8,410,444,34,5
Tony Santillan,CIN,427.0,427,427,0,1
Hunter Gaddis,CLE,428.0,428,428,0,1
James Outman,MIN,429.0,429,429,0,1
Oswald Peraza,LAA,431.5,431,432,1,2
Aidan Miller,PHI,432.0,427,437,10,2
George Klassen,LAA,432.0,424,440,16,2
Max Scherzer,TOR,432.17,393,447,54,6
Tyler Rogers,TOR,432.5,429,436,7,2
Didier Fuentes,ATL,433.0,433,433,0,1
Foster Griffin,WAS,433.2,411,448,37,5
T.J. Rumfield,NYY,435.0,416,450,34,3
Drew Pomeranz,LAA,435.0,435,435,0,1
Ben Joyce,LAA,435.0,434,436,2,2
Ryan Mountcastle,BAL,435.0,435,435,0,1
JR Ritchie,ATL,435.67,432,442,10,3
Steven Matz,TB,436.0,436,436,0,1
Jose Alvarado,PHI,437.0,437,437,0,1
Pavin Smith,ARZ,438.0,438,438,0,1
Nick Yorke,PIT,439.0,439,439,0,1
Carlos Lagrange,NYY,439.0,439,439,0,1
Aaron Ashby,MLW,439.5,429,450,21,2
Adrian Houser,SF,440.0,433,447,14,2
Joey Bart,PIT,442.0,442,442,0,1
Esteury Ruiz,MIA,442.0,442,442,0,1
Shane Drohan,MLW,444.0,444,444,0,1
Otto Kemp,PHI,444.0,444,444,0,1
Emerson Hancock,SEA,445.0,445,445,0,1
Dominic Leone,CWS,446.0,446,446,0,1
Lance McCullers Jr.,HOU,448.0,448,448,0,1
Blaze Alexander,BAL,450.0,450,450,0,1
Calvin Faucher,MIA,450.0,450,450,0,1
